Date,Symbol,Open,High,Low,Close,Volume,Turnover
2019-06-04,ADANIPORTS,423.4,429.85,417.4,425.55,7683485,326309210685000
2019-06-06,ADANIPORTS,428.15,429.5,420.8,426.3,4848580,206370990125000
2019-06-07,ADANIPORTS,426.3,427.4,419.45,425.2,2648848,112174126055000
2019-06-10,ADANIPORTS,424.1,429.5,420.6,425.75,2374282,100833650935000
2019-06-11,ADANIPORTS,424.7,427.8,423.15,426.3,1707108,72687260415000
2019-06-12,ADANIPORTS,425.25,429.4,423,424.95,2329686,99152366805000
2019-06-13,ADANIPORTS,424,426.3,422.5,424.95,2925612,124250246290000
2019-06-14,ADANIPORTS,424.95,428.15,423.75,426.4,2745328,116881860080000
2019-06-17,ADANIPORTS,426,426.35,422.1,422.85,2736051,116015311990000
2019-06-18,ADANIPORTS,424.9,425.7,418.6,421.4,3509487,148009977150000
2019-06-19,ADANIPORTS,423.5,424.85,400.7,407.7,5938743,246157332700000
2019-06-20,ADANIPORTS,397.95,412.6,389.7,401.2,8383317,334845743060000
2019-06-21,ADANIPORTS,402.15,407.65,397.65,402,4710025,189621057680000
2019-06-24,ADANIPORTS,400,407.4,399.8,406,2582740,104477884930000
2019-06-25,ADANIPORTS,404,407.2,402.65,405.65,2099347,85045120960000
2019-06-26,ADANIPORTS,405.4,417.6,404,414.95,3327963,137537533240000
2019-06-27,ADANIPORTS,415.25,418.3,404.7,406.5,8841636,360481494630000
2019-06-28,ADANIPORTS,408.7,413.35,407,410.2,2148799,88184674835000
2019-07-01,ADANIPORTS,412,414,408.5,413.25,1457022,60012323600000
2019-07-02,ADANIPORTS,413,416.45,409.4,414.05,1671598,69241361700000
2019-07-03,ADANIPORTS,414,419.5,414,414.9,2542307,105888821565000
2019-07-04,ADANIPORTS,416,417.25,413.35,414.9,1101623,45766398135000
2019-07-05,ADANIPORTS,416.4,416.5,400.55,402.45,1670037,68373878830000
2019-07-08,ADANIPORTS,401,404.45,395.95,397.8,1648021,65978461660000
2019-07-09,ADANIPORTS,397.7,406,392.65,405,1952280,78068437460000
2019-07-10,ADANIPORTS,406.95,408.8,402.35,405,2023029,82004890220000
2019-07-11,ADANIPORTS,408.2,413.7,403.9,412.9,1732979,71103447145000
2019-07-12,ADANIPORTS,411.95,419.4,409.6,415.3,2818537,116962084420000
2019-07-15,ADANIPORTS,413.55,416.2,408.1,409.1,2601603,107154436850000
2019-07-16,ADANIPORTS,411.65,421.5,407.65,417.75,2111513,87364654940000
2019-07-17,ADANIPORTS,420.2,421.1,414.3,417.05,1698318,70916680755000
2019-07-18,ADANIPORTS,416.7,419.3,410.75,412.4,1300071,53958604895000
2019-07-19,ADANIPORTS,414.55,416.65,401.75,405.5,1894624,77593334895000
2019-07-22,ADANIPORTS,403.8,409.5,396.5,407.2,1941825,78538386365000
2019-07-23,ADANIPORTS,409,409,398,399.75,2835920,113717962765000
2019-07-24,ADANIPORTS,400,400.55,378,380.8,4748109,183184043760000
2019-07-25,ADANIPORTS,380.8,385.55,377,380.35,2998970,114380674410000
2019-07-26,ADANIPORTS,380.65,384.4,377.2,381.65,2701597,102979150780000
2019-07-29,ADANIPORTS,381.55,382.8,372,373.85,1888927,71042416820000
2019-07-30,ADANIPORTS,376.6,379.9,371.1,373.45,2312161,86855413390000
2019-07-31,ADANIPORTS,373,381.8,368.65,377.55,2429787,91448764370000
2019-08-01,ADANIPORTS,376,377.85,366.3,371.1,1720133,63913615710000
2019-08-02,ADANIPORTS,368.5,379.75,363.65,375.45,3029294,113020653560000
2019-08-05,ADANIPORTS,372,372,359.15,367.85,2432675,88886042815000
2019-08-06,ADANIPORTS,365.6,378.6,365.25,376.95,3719169,139068368590000
2019-08-07,ADANIPORTS,379.55,379.55,365.65,372.25,3419644,127022487840000
2019-08-08,ADANIPORTS,378,379.5,367.45,373.95,3397923,126815421295000
2019-08-09,ADANIPORTS,377.7,380.5,374.25,376.6,2223023,83903515495000
2019-08-13,ADANIPORTS,376.4,379.55,359.1,360.55,2576776,94988667740000
2019-08-14,ADANIPORTS,361.55,363,356.6,358.85,4506969,162171175840000
2019-08-16,ADANIPORTS,356.05,358.55,350,357.35,4433448,157724638100000
2019-08-19,ADANIPORTS,357.6,363.4,356.5,357.4,2152462,77502494345000
2019-08-20,ADANIPORTS,357.4,359.75,352,354.95,1767899,62825789205000
2019-08-21,ADANIPORTS,355,355,348.4,350.7,1459740,51403668440000
2019-08-22,ADANIPORTS,348.8,348.8,340.8,345.05,2171160,74785587080000
2019-08-23,ADANIPORTS,346.4,354.15,339.65,349.35,2246560,78189824195000
2019-08-26,ADANIPORTS,366,375,349.35,368.2,4974219,180372883060000
2019-08-27,ADANIPORTS,370.3,374.25,367.3,372.05,3040184,112937885670000
2019-08-28,ADANIPORTS,373.1,374.25,364.05,365.95,2186454,80602695125000
2019-08-29,ADANIPORTS,367,370.3,361.3,366.2,1725632,62977415635000
2019-08-30,ADANIPORTS,368.45,368.85,359.4,365.7,2313806,84289337620000
2019-09-03,ADANIPORTS,362.7,367.15,359.55,361.3,1638833,59539439080000
2019-09-04,ADANIPORTS,361.3,365.75,356.65,364.35,1846644,66923571510000
2019-09-05,ADANIPORTS,365.7,367.75,361.25,366.55,1642165,59984685085000
2019-09-06,ADANIPORTS,368,368.7,363.8,365.75,2366109,86711016460000
2019-09-09,ADANIPORTS,365.8,371.8,363.65,369.55,2954338,108732984460000
2019-09-11,ADANIPORTS,371.2,374.95,366.5,373.35,3341392,124023680970000
2019-09-12,ADANIPORTS,375,376.2,370.5,372.45,2625251,98212934190000
2019-09-13,ADANIPORTS,376.5,377,370.4,374.2,2925109,109220596140000
2019-09-16,ADANIPORTS,373,373.8,368.1,370.6,2561643,95150474750000
2019-09-17,ADANIPORTS,370.6,373.25,362.8,365.3,2609989,96351225390000
2019-09-18,ADANIPORTS,365,368.3,364.2,366.35,1469778,53826374220000
2019-09-19,ADANIPORTS,366.3,366.5,357.85,361.9,1317155,47692048990000
2019-09-20,ADANIPORTS,362.45,384.8,361,380.7,6134710,229932886045000
2019-09-23,ADANIPORTS,394,417.5,386.1,410.95,6695717,270163727865000
2019-09-24,ADANIPORTS,409.95,417.5,403.95,413.85,3112368,128516899070000
2019-09-25,ADANIPORTS,409.3,417.95,409.1,414.8,2997555,124370021315000
2019-09-26,ADANIPORTS,412.2,420.6,412,419.15,8639414,360611344480000
2019-09-27,ADANIPORTS,418,420.5,406.1,408.6,3789544,156623955240000
2019-09-30,ADANIPORTS,403,415.55,401.45,413.95,3152658,129230356715000
2019-10-01,ADANIPORTS,415.2,417.9,401.6,404.05,2532760,103807681925000
2019-10-03,ADANIPORTS,403.5,406.2,398.6,403.9,2619077,105276450555000
2019-10-04,ADANIPORTS,405.5,407.25,392.95,394.6,1610595,64505251990000
2019-10-07,ADANIPORTS,396,400.75,390.65,395.25,1399825,55382221825000
2019-10-09,ADANIPORTS,396.35,402.85,391.55,400.45,3905912,155694475265000
2019-10-10,ADANIPORTS,397.8,401.6,395.6,399.9,3034826,120889404365000
2019-10-11,ADANIPORTS,401.25,410.25,395.9,409.05,2283201,92420200305000
2019-10-14,ADANIPORTS,410.9,413,404.8,407.45,3313476,135891649805000
2019-10-15,ADANIPORTS,408.85,414.5,407.45,413.75,2434978,100410816680000
2019-10-16,ADANIPORTS,413,413.75,403.6,410,2008661,81850165325000
2019-10-17,ADANIPORTS,409.1,411.2,404.6,409.15,2478950,101120158550000
2019-10-18,ADANIPORTS,410,423.8,408,421.7,4047650,169370236430000
2019-10-22,ADANIPORTS,421.5,428.85,417.1,420.75,2380735,100893087580000
2019-10-23,ADANIPORTS,418,419,395,396.1,6752056,269878081840000
2019-10-24,ADANIPORTS,399,401.45,393.35,399.15,6433637,256837468190000
2019-10-25,ADANIPORTS,402.95,402.95,396.85,398.95,3272059,130821950320000
2019-10-27,ADANIPORTS,402.25,402.25,398.55,399.8,110114,4409042235000
2019-10-29,ADANIPORTS,401,401,398.15,398.95,2269051,90722196285000
2019-10-30,ADANIPORTS,399.2,405,395.5,398.1,5590453,223891793845000
2019-10-31,ADANIPORTS,399.25,400,393.65,395.8,2529130,100256631365000
2019-11-01,ADANIPORTS,396,397.25,387.85,389.75,3665336,143526231605000
2019-11-04,ADANIPORTS,390,394.95,389.75,391,3146855,123511785750000
2019-11-05,ADANIPORTS,391.7,392.9,386.5,390,1395899,54367430155000
2019-11-06,ADANIPORTS,390,394.4,388.5,391,2277683,89277115255000
2019-11-07,ADANIPORTS,390.5,392,388.05,390.45,1615593,63038937855000
2019-11-08,ADANIPORTS,391.2,391.2,385.5,386.15,1206504,46929717610000
2019-11-11,ADANIPORTS,386.15,389.15,382.5,387.9,2300763,89189414790000
2019-11-13,ADANIPORTS,391,391.8,369.4,370.8,5392849,204301533975000
2019-11-14,ADANIPORTS,371.9,374.1,365.85,369.1,2662084,98532286355000
2019-11-15,ADANIPORTS,369.1,370.9,365.5,366.3,2362065,86947853715000
2019-11-18,ADANIPORTS,366.3,367.45,364.1,365.65,1835202,67180108255000
2019-11-19,ADANIPORTS,367.5,368.15,361.55,364.05,2758083,100425439530000
2019-11-20,ADANIPORTS,364.5,377.1,364,366.7,6385953,236774089585000
2019-11-21,ADANIPORTS,368,376.25,368,372.1,6556285,244003108155000
2019-11-22,ADANIPORTS,372.25,375.55,370.45,371.45,3679373,137199597415000
2019-11-25,ADANIPORTS,372,379.2,371.5,374.7,3050808,114730551875000
2019-11-26,ADANIPORTS,377.05,378,368.45,370.4,4348236,162009267550000
2019-11-27,ADANIPORTS,372,374.35,367.25,372.95,1417796,52739775575000
2019-11-28,ADANIPORTS,376,377.7,370.5,372.6,1649478,61530731520000
2019-11-29,ADANIPORTS,372,384.95,370.8,382.05,30111277,1143740998225000
2019-12-02,ADANIPORTS,381.1,383.35,375.85,377.75,3783084,143221994090000
2019-12-03,ADANIPORTS,380,380,359.55,361.95,4189825,153705443530000
2019-12-04,ADANIPORTS,361.5,370.35,357.35,367.85,4369308,160231272410000
2019-12-05,ADANIPORTS,368,373.6,365.15,368.4,3179935,117355839625000
2019-12-06,ADANIPORTS,370.65,371.3,363.4,366.15,2376977,87215282745000
2019-12-09,ADANIPORTS,368.25,377.5,364.95,373.6,4988293,186134658030000
2019-12-10,ADANIPORTS,373.9,375.85,366.05,366.9,2108098,78296957580000
2019-12-11,ADANIPORTS,368.95,370.85,365,369.7,1710192,63020592665000
2019-12-12,ADANIPORTS,371.45,376.5,370.9,372.5,2012086,75149210825000
2019-12-13,ADANIPORTS,372.55,380.9,372.55,376.95,2699035,101787368660000
2019-12-16,ADANIPORTS,377.25,380.45,366.95,368.35,3579883,132476356140000
2019-12-17,ADANIPORTS,369.2,373,367.55,371.25,4226416,156619944555000
2019-12-18,ADANIPORTS,372.1,375.8,369.1,374.5,3960881,147691412120000
2019-12-19,ADANIPORTS,374,374.25,367.6,369.65,2769484,102711520750000
2019-12-20,ADANIPORTS,370.2,378,370.2,372.3,10808900,405031983445000
2019-12-23,ADANIPORTS,372.05,374.2,364.25,366.9,4275342,158152194350000
2019-12-24,ADANIPORTS,368,372,366,368.6,2948878,108777905590000
2019-12-26,ADANIPORTS,368.8,370.6,362.1,363.65,2503435,91755295530000
2019-12-27,ADANIPORTS,366.75,367.9,362.8,363.7,2146972,78405687615000
2019-12-30,ADANIPORTS,371,371,363.75,365.95,4732203,173583966235000
2019-12-31,ADANIPORTS,366,368.65,364.9,366,2043206,74887036480000
2020-01-01,ADANIPORTS,368,379.25,366,377.65,11377167,427445918265000
2020-01-02,ADANIPORTS,377.95,384.7,376.5,383.15,5919760,225933741585000
2020-01-03,ADANIPORTS,382.7,384.35,379.2,382.5,3684824,140763554940000
2020-01-06,ADANIPORTS,388,388,374.75,380.2,12482680,476507128120000
2020-01-07,ADANIPORTS,384.05,389.75,382.4,384.8,8091465,311917790545000
